Aggregate,Internship,GRE,GermanLevel,IELTS7,DegreeCompleted,Winter,Admission
2.170892186,1,0,2,1,1,0,1
2.770607418,1,1,0,0,0,1,0
2.140340194,1,1,1,0,1,0,1
1.754497576,0,1,2,0,1,0,1
2.18858715,0,0,0,0,0,0,0
1.63478148,0,1,2,1,1,1,1
1.745336427,1,1,0,0,1,1,1
2.436705132,0,0,0,0,0,0,0
1.875779697,0,0,0,1,1,0,1
3.971742871,0,0,0,1,1,0,0
2.077814334,0,1,0,1,1,0,1
2.254191355,0,0,2,1,0,1,0
3.376778478,0,0,2,0,1,0,0
1.872504827,1,1,1,1,1,0,1
1.779274067,1,1,2,1,1,0,1
2.350037862,0,1,2,1,1,1,1
2.944796236,1,1,1,1,0,1,0
1.803492407,0,1,1,1,1,1,1
2.34293491,0,0,0,0,0,1,0
2.473845833,0,1,2,0,0,0,0
1.066717122,1,1,1,1,0,1,1
1.685817597,0,0,0,0,0,1,0
1.916267445,1,0,1,1,0,1,1
2.688631566,0,0,2,0,1,1,0
1.758591157,1,1,1,1,1,1,1
1.868230354,1,0,1,0,1,1,1
2.510286505,0,0,1,1,1,1,0
2.296796157,1,1,0,0,1,0,1
1.930903486,0,1,0,0,0,0,0
2.53007628,1,1,1,1,1,1,1
2.443024377,1,1,2,1,1,1,1
2.519486069,1,1,1,1,1,0,1
1.671383222,1,1,0,1,1,1,1
2.011600878,0,0,0,0,1,1,0
2.282655516,1,0,1,1,1,0,1
2.484846405,1,1,1,0,1,0,1
1.456072096,1,1,1,0,0,1,1
3.846396058,1,0,0,0,1,0,0
2.616931544,0,0,0,0,1,0,0
2.668701538,0,1,1,0,1,1,0
1.940564242,0,0,2,0,1,0,0
2.186484615,0,0,0,0,0,0,0
2.370604478,0,0,0,0,1,0,0
2.568080895,0,0,1,0,1,1,0
3.464468886,0,0,1,0,1,1,0
2.180375007,1,1,1,1,1,0,1
2.117896891,1,1,1,1,1,1,1
1.64177087,1,1,1,1,1,0,1
2.733865648,0,0,2,0,0,0,0
2.375284533,1,1,1,0,1,0,1
1.697071043,1,1,1,1,1,0,1
2.769121322,0,1,2,0,0,0,0
2.100726995,1,0,2,0,1,0,1
2.51096986,1,1,1,1,1,1,1
1.550628178,0,1,2,0,1,1,1
3.822652099,0,0,0,1,0,0,0
2.732210841,1,0,0,0,0,1,0
2.580419124,0,1,2,1,1,1,0
1.619126709,0,1,0,1,1,1,1
2.162007463,1,1,1,1,1,0,1
2.664191532,1,1,1,1,0,0,0
2.797769323,0,1,1,1,0,0,0
2.403452735,1,1,1,1,0,1,1
2.712631583,1,1,0,1,0,1,0
2.321356527,0,0,1,1,1,0,1
1.564591757,0,1,2,1,0,1,1
2.360765448,0,0,0,0,0,0,0
2.090417111,1,1,2,1,1,0,1
2.771172578,1,1,1,1,1,1,1
2.77764332,1,1,2,0,1,1,0
1.228436332,1,1,0,0,0,1,1
1.844232748,1,0,1,1,1,1,1
2.312346682,0,0,2,1,1,0,1
2.143570365,1,1,0,0,1,0,1
1.703217881,1,0,0,1,0,0,1
2.203670333,1,0,2,1,0,1,1
2.279738519,1,0,2,0,0,1,1
2.149441258,1,0,2,0,1,0,1
3.593945378,1,1,1,0,1,1,0
2.462240386,1,1,2,0,1,1,1
3.721310536,1,0,0,0,1,0,0
2.246263326,1,1,2,0,1,0,1
2.579386342,0,1,0,0,1,0,0
2.656996125,1,1,1,0,1,1,0
3.511194462,1,1,1,1,0,0,0
2.66030506,1,1,1,1,1,1,1
3.927496534,1,1,1,0,0,0,0
3.005882656,0,0,2,1,1,0,0
1.783391885,1,1,0,1,1,1,1
2.370395899,0,0,0,0,0,1,0
2.378868732,1,1,1,0,1,0,1
3.258833215,1,1,2,1,0,0,0
2.746978854,1,1,1,1,1,0,1
2.267952477,0,0,0,0,0,1,0
3.828965221,1,1,2,0,0,0,0
1.576717012,1,1,1,0,1,1,1
2.026847331,1,1,0,1,1,0,1
1.87338861,1,0,1,0,1,0,1
2.798996309,0,1,1,0,1,0,0
2.75745546,0,1,0,1,0,0,0
2.108437153,0,0,0,0,0,0,0
1.952422802,1,0,2,1,1,0,1
2.210663043,1,0,0,0,0,1,0
3.59909045,0,1,0,1,1,0,0
1.989928858,1,1,2,1,1,0,1
2.282494228,0,1,0,1,1,0,1
2.49008569,0,0,0,0,0,1,0
2.355581239,1,1,2,1,1,0,1
1.631938125,1,0,2,1,0,0,1
2.362861402,0,0,0,1,0,0,0
2.212034145,1,0,0,0,1,0,1
2.433011024,0,0,0,1,1,1,0
2.664690793,1,1,1,1,1,0,1
3.62855304,0,0,1,0,0,1,0
2.049493866,1,1,1,1,1,1,1
2.272954229,0,0,0,0,0,0,0
2.461758032,0,0,0,0,0,0,0
2.326931226,0,0,2,1,1,1,1
2.229008909,0,0,2,0,0,0,0
2.14010444,1,0,1,1,1,0,1
1.88680688,1,1,2,1,1,1,1
1.881201073,0,1,0,0,0,0,0
1.982663477,0,1,2,1,1,0,1
1.956379555,0,0,1,1,1,1,1
2.239823571,1,0,2,0,0,1,1
1.531149344,0,0,0,0,0,1,0
1.583467139,1,1,0,1,0,0,1
2.518843248,1,1,1,1,1,0,1
2.473402336,1,1,2,1,1,1,1
2.25251102,1,0,2,1,1,0,1
2.297569421,0,1,0,0,0,0,0
1.783600681,0,0,2,1,1,0,1
2.664243319,0,0,0,0,1,0,0
2.273850365,1,1,0,1,1,1,1
1.968596146,1,1,2,1,1,0,1
2.402631137,0,0,0,0,0,0,0
2.418018144,1,1,0,1,0,0,1
2.249918706,0,1,1,1,1,1,1
1.97165506,0,1,0,0,0,1,0
2.213998279,1,1,2,1,1,0,1
2.595551787,0,0,0,0,0,0,0
2.652371456,1,0,1,1,1,1,0
2.394012188,0,0,0,0,0,1,0
2.440665099,0,0,0,1,1,1,0
2.249272953,1,0,0,1,1,0,1
1.094786884,0,0,0,1,0,1,1
3.648440988,1,1,0,1,0,1,0
2.075371266,0,0,0,0,1,0,0
2.47228159,0,0,0,1,1,0,0
1.713917901,0,1,2,1,1,0,1
2.226287357,1,1,2,1,1,1,1
1.600119089,1,1,1,1,0,0,1
2.283141568,1,0,1,0,1,1,1
2.400074797,0,0,0,0,0,0,0
2.675682505,1,1,0,0,1,0,0
1.545706918,1,1,0,0,1,0,1
2.119890818,1,0,0,0,0,0,0
