Aggregate,Internship,DegreeCompleted,Winter,Germanlevel,GRE,Admission
2.536536217,1,0,0,0,0,0
3.967178543,1,1,1,2,0,0
2.055989992,0,0,0,1,0,0
1.77867782,0,0,0,1,1,0
2.127602323,1,0,0,1,1,0
1.607984887,1,0,1,1,1,0
2.044611574,0,0,0,2,1,0
1.76302109,1,1,1,1,1,1
1.651028757,1,1,1,1,0,1
2.536199295,1,0,0,1,1,0
2.464905807,1,1,1,2,1,1
2.09189743,1,1,0,1,0,1
1.592219598,0,1,1,2,1,1
1.92620292,1,0,1,0,1,0
2.452249644,1,1,1,1,1,1
3.428475227,1,0,0,0,0,0
1.750788942,0,1,1,2,1,1
2.752741361,1,1,1,1,1,1
1.326812958,0,1,0,2,0,1
2.708323808,0,0,0,2,0,0
1.558818966,1,1,1,0,1,1
2.044938818,1,1,0,1,0,1
2.318226621,0,0,1,2,0,0
2.741437421,0,0,1,2,0,0
1.961182546,0,1,1,1,1,1
2.069896137,0,1,1,1,0,1
3.500759272,1,1,1,2,1,0
2.529270157,1,0,1,2,1,0
1.551568959,1,0,1,1,1,0
2.569670511,1,0,1,1,1,0
1.869697685,1,0,1,2,1,0
2.285221889,0,1,0,1,1,1
1.819482331,1,1,0,1,0,1
1.393852018,1,1,0,0,0,1
2.093482923,1,1,0,1,0,1
1.2490049,1,0,0,1,0,1
2.672292631,1,0,1,2,0,0
2.608722888,1,1,1,1,1,1
2.458501685,1,0,1,2,0,0
2.571519198,1,0,1,2,1,0
1.567212856,1,1,1,1,0,1
2.374925042,0,1,1,2,0,1
1.634369959,0,1,0,0,0,1
3.393149132,0,0,1,1,0,0
2.017755689,1,1,0,1,0,1
2.314653889,0,0,1,0,0,0
2.634076237,1,0,0,0,0,0
2.093577842,1,0,1,0,1,0
2.456747075,0,0,1,0,1,0
3.544758458,1,1,1,2,0,0
2.87952239,1,0,0,0,1,0
2.060326825,0,1,0,1,1,1
1.853989773,0,1,1,1,0,1
2.646053903,1,0,1,0,1,0
2.197944205,1,1,1,1,0,1
2.191986704,1,1,0,1,0,1
3.111380393,1,1,1,1,0,0
2.574017002,1,1,1,2,1,1
2.692565589,0,0,1,2,0,0
1.755795563,1,1,0,1,0,1
1.655838773,0,0,1,2,1,0
2.750986491,0,1,0,1,1,0
1.084046447,0,1,0,0,1,1
2.145928778,1,1,1,2,0,1
3.631098146,1,1,0,2,1,0
2.921896071,1,1,1,2,1,0
3.962240191,0,1,1,2,1,0
2.526699248,1,0,1,2,1,0
2.31570926,0,1,0,2,0,1
1.850350811,1,1,1,0,1,1
1.965945145,0,1,1,1,1,1
1.904250924,1,1,1,1,0,1
2.246320572,0,1,0,1,0,1
2.587229948,0,1,1,1,0,1
3.46475358,0,1,0,0,1,0
3.121028129,1,1,1,2,1,0
1.503627466,1,1,1,1,0,1
3.174294645,1,1,1,1,0,0
3.192405864,1,1,1,1,0,0
1.60044806,1,1,1,1,1,1
2.772450259,1,1,0,2,0,0
1.695921594,1,1,0,1,0,1
2.792830598,0,1,0,0,0,0
2.645761601,0,1,1,2,0,0
2.159828507,0,1,1,1,1,1
1.661507854,1,0,1,2,0,0
1.589015585,1,0,1,1,1,0
1.570637068,0,1,0,1,1,1
3.527465071,1,0,1,2,1,0
2.394141992,0,1,1,2,1,1
3.695421487,1,1,1,1,1,0
2.858475811,1,1,1,1,1,0
2.475068046,1,0,1,2,1,0
1.908928525,1,0,1,1,1,0
1.729727266,1,1,1,1,0,1
2.680187845,1,0,0,1,1,0
2.204281054,1,1,0,1,1,1
2.19005022,0,0,0,0,0,0
2.795276794,0,1,1,1,1,0
2.352225458,1,1,0,2,1,1
2.466189849,1,1,1,2,1,1
1.802639364,1,1,1,1,1,1
2.684508307,1,1,1,2,1,1
3.63644374,0,0,0,0,1,0
2.766916514,1,1,1,1,1,0
2.559989774,1,0,1,2,1,0
2.721834702,1,0,0,0,1,0
1.919575506,0,1,1,1,1,1
1.610127279,1,0,1,1,1,0
1.631860303,1,0,0,2,1,0
2.404889079,1,1,1,1,1,1
2.068539615,0,1,0,1,1,1
1.650443952,1,1,0,1,0,1
2.684583038,0,0,1,1,0,0
2.657893349,0,1,0,2,0,0
1.518261943,1,1,1,1,1,1
2.729353265,1,1,0,1,1,0
2.629084127,0,1,0,2,1,0
2.114178188,0,1,0,2,1,1
1.924966235,1,1,1,1,1,1
2.270189216,1,0,0,2,1,0
2.479979182,1,0,0,1,1,0
1.405775502,1,0,0,2,0,1
2.168834576,1,1,1,1,0,1
2.720135956,1,1,1,1,1,1
2.792680496,0,1,1,0,1,0
1.719470322,0,0,0,1,1,0
1.926268248,1,0,1,1,1,0
2.508053645,1,0,1,2,1,0
1.601779668,1,1,1,1,1,1
1.797659149,1,1,0,1,1,1
2.558011218,1,1,0,1,1,1
1.292600494,0,1,1,2,1,1
2.712069539,0,1,0,0,0,0
3.237786955,0,1,0,0,1,0
2.756774956,1,1,1,1,1,1
2.519390201,1,1,1,0,1,1
2.489890103,1,0,1,2,1,0
2.25508914,1,1,1,1,0,1
2.153826679,1,1,1,1,1,1
3.200077176,1,1,1,2,0,0
1.757270653,1,0,0,0,1,0
2.722907893,1,1,1,0,1,0
1.062454424,0,1,1,1,0,1
2.142114986,0,0,1,0,0,0
2.483546585,1,1,1,2,1,1
2.182483828,1,1,1,1,1,1
1.477475339,1,0,0,0,0,1
2.759523924,0,1,1,0,0,0
2.600318817,0,1,0,2,0,0
1.983268653,1,1,0,1,1,1
1.008216386,0,1,0,2,1,1
1.525043321,0,0,1,2,0,0
2.653606029,0,1,0,2,0,0
2.2350801,1,0,0,1,1,0
2.422122387,0,0,0,1,0,0
1.859081996,0,1,0,1,1,1
1.725231902,1,1,0,1,0,1
3.764769929,0,0,1,2,1,0
3.140066689,1,1,1,2,0,0
1.777500602,1,0,1,1,1,0
1.831386359,1,1,1,1,1,1
2.485685965,1,0,1,1,1,0
2.281724807,0,0,0,1,1,0
2.67035423,0,0,1,1,1,0
2.179053123,1,1,1,1,1,1
2.021469456,1,1,1,1,1,1
1.691802565,1,0,1,1,0,0
2.499750039,0,1,1,2,0,1
1.93205231,1,0,1,2,1,0
2.455821638,1,0,1,2,1,0
2.096875527,1,1,1,1,1,1
1.63109556,1,1,0,1,1,1
1.523098516,0,1,0,1,1,1
1.058845943,1,0,0,0,1,1
2.092528753,0,1,0,0,1,1
1.703194605,0,1,1,2,0,1
2.185250905,0,1,1,1,1,1
1.848314101,1,1,0,1,1,1
3.604961402,0,1,0,1,1,0
1.960606145,1,0,0,2,0,0
2.093576693,0,1,1,1,1,1
2.570098907,1,0,0,2,1,0
2.20328156,1,0,0,0,0,0
3.734801553,0,0,1,0,1,0
2.784615979,0,0,0,2,1,0
2.707353964,0,0,0,2,0,0
1.968731518,1,0,0,2,1,0
1.814889293,1,1,1,1,1,1
1.500166455,1,0,0,0,0,0
1.865928785,0,1,1,1,0,1
2.726916548,0,0,1,0,1,0
2.386829458,1,1,1,2,1,1
1.618875212,1,1,1,1,1,1
2.779702345,1,1,1,1,1,1
2.672224151,1,1,1,2,1,1
1.949672152,1,1,0,1,1,1
2.625224035,0,1,0,0,0,0
1.869810207,1,1,1,1,0,1
1.637497541,1,0,1,1,1,0
2.21129357,1,1,1,1,1,1
2.381640402,1,0,0,1,0,0
2.328798351,1,1,1,2,1,1
2.2863271,0,1,1,1,1,1
1.639849962,0,1,0,1,1,1
1.790091433,1,1,1,1,0,1
2.645759544,1,1,1,1,1,1
2.579271634,0,1,1,1,1,1
1.620379085,1,0,0,2,1,0
2.054810565,1,1,0,1,0,1
2.946200769,1,1,1,1,0,0
2.555989012,0,0,1,0,1,0
2.566377523,1,0,1,1,1,0
2.617065838,1,0,0,1,0,0
2.319848457,1,0,1,2,1,0
1.939303459,1,1,1,1,0,1
1.655174507,1,1,1,1,0,1
3.337235441,1,0,0,0,0,0
1.917759876,0,0,1,1,0,0
2.076144632,0,0,0,1,1,0
2.145265242,1,0,0,2,1,0
2.284747864,1,1,1,1,1,1
1.530618888,1,1,0,1,0,1
2.32398588,1,0,0,1,1,0
