Aggregate,WorkExpLess1Year,WorkExpMore1Year,GermanLevel,Private,GRE,Admission
2.092479691,0,1,1,0,1,1
2.194027339,1,0,2,0,1,1
2.153224699,0,1,0,1,1,1
1.913072976,0,0,2,0,0,0
1.934809578,1,0,0,1,0,1
1.685039827,1,0,1,0,1,1
1.655111109,0,1,1,1,1,1
2.243796205,0,1,0,0,1,1
1.574609031,1,1,1,1,1,1
1.81177016,0,0,1,0,0,0
1.717238979,0,0,0,0,0,0
2.276798221,0,1,2,1,1,1
1.940966706,1,0,1,1,1,1
1.637347359,0,1,1,1,1,1
1.464731111,1,1,1,0,0,1
1.712876406,1,0,0,0,1,1
1.312172212,0,1,1,0,1,1
1.613506473,1,0,1,0,1,1
1.709763084,0,1,1,1,1,1
1.587693422,0,0,0,0,0,0
1.596198782,0,1,1,0,1,1
1.735137531,1,1,2,1,1,1
1.984936958,0,1,1,0,0,1
2.245240983,1,0,2,0,1,1
2.094163788,1,0,1,0,1,1
1.828986651,0,0,0,0,0,0
2.009671664,1,0,1,1,1,1
1.740661862,0,0,1,0,1,1
1.551078747,1,0,0,0,1,1
1.347425309,0,1,0,1,0,1
1.905892374,1,0,2,0,1,1
1.93560133,0,0,0,0,0,0
1.854841378,0,1,1,0,1,1
1.683875247,1,0,0,1,1,1
1.763999599,1,0,2,1,1,1
1.536592921,1,0,2,1,1,1
1.822666807,0,0,0,0,1,0
1.950832421,0,1,1,0,0,1
2.199546585,1,0,2,0,1,1
1.70190476,0,1,1,0,1,1
1.747922064,0,1,2,1,0,1
2.233796074,0,1,1,0,1,1
1.683756349,1,0,1,0,1,1
1.473874348,0,0,1,1,1,1
1.526675608,0,1,1,1,1,1
1.55594216,0,1,1,0,0,1
1.870031858,0,1,0,1,0,1
1.648405174,0,1,2,1,1,1
1.767798269,0,1,1,0,1,1
1.959383599,1,0,0,1,1,1
2.203845638,0,1,1,0,1,1
1.990995527,1,0,2,1,1,1
1.623981064,0,0,0,0,0,0
1.71177199,0,1,2,1,0,1
1.725233488,0,0,0,0,0,0
1.720287821,0,0,0,0,0,0
1.786110224,0,0,2,0,1,1
1.671955893,1,0,0,0,1,1
2.231699667,1,0,2,1,1,1
1.966527513,0,1,2,0,0,1
1.980352357,0,1,1,1,0,1
2.119619964,1,0,1,0,1,1
1.957517053,0,0,0,0,0,0
1.748309217,1,0,2,0,1,1
2.223892249,1,0,2,0,1,1
1.681760477,0,1,1,1,1,1
1.922824912,0,1,2,1,1,1
1.131027919,0,0,2,1,0,1
1.637808056,1,0,1,0,1,1
1.601079514,1,0,1,0,1,1
1.850858495,0,1,1,1,1,1
1.753750563,0,0,0,0,0,0
1.791118039,1,0,0,1,1,1
1.606787215,0,0,0,0,0,0
1.787755925,0,0,0,0,0,0
2.286100546,1,0,2,1,1,1
1.510259437,0,0,0,0,0,0
1.754488083,0,1,1,1,0,1
1.696849742,0,1,2,1,1,1
1.760564428,0,1,2,1,1,1
1.905039514,0,1,2,0,1,1
1.941775297,1,0,2,1,1,1
1.92691007,0,0,1,0,0,0
1.820995852,0,1,1,1,1,1
1.815755166,1,0,2,1,1,1
1.923773696,0,1,2,0,1,1
1.567504046,1,0,2,1,1,1
2.278999675,0,1,2,1,1,1
1.513237828,0,0,0,0,0,0
1.864926683,0,0,2,0,0,0
1.941049093,0,0,0,0,0,0
1.978600738,0,1,1,1,1,1
1.773997009,0,1,1,0,0,1
1.516057902,0,1,1,0,1,1
2.245334328,1,0,2,1,1,1
1.954792689,1,0,1,1,0,1
1.724330836,0,0,0,0,0,0
1.985547051,0,1,1,1,1,1
1.528637077,0,0,0,0,0,0
