Aggregate,Internship,DegreeComp,Winter,Germanlevel,Private,Admission
2.698637763,0,1,1,1,1,1
2.495488787,0,0,0,0,0,0
2.284619706,0,0,1,0,0,0
2.692856545,0,1,1,1,1,1
2.235972971,1,1,1,1,0,1
2.217458926,0,0,0,2,0,0
2.773748181,0,0,1,2,0,0
2.764413563,0,0,1,2,0,0
3.945784513,0,0,1,2,0,0
2.821809644,0,0,1,1,1,0
2.273354856,0,0,0,0,0,0
2.647627029,0,0,1,2,0,0
1.572166448,0,1,0,2,0,1
3.723296323,0,0,0,2,1,0
3.594246054,0,1,1,0,1,0
1.620676041,1,1,1,1,0,1
2.608900769,0,1,1,2,0,0
2.427321886,0,1,1,1,0,1
2.623772453,1,1,1,1,0,1
2.095928603,0,1,0,1,1,1
2.548839037,0,0,0,0,0,0
3.569381436,1,0,0,0,0,0
2.587308993,0,0,0,2,0,0
2.342908492,0,0,0,0,0,0
2.130180566,1,0,0,2,0,0
1.178255874,1,0,0,1,0,1
2.553698368,0,1,1,2,1,1
2.320604223,0,0,1,0,0,0
2.172768817,0,0,0,1,0,0
2.872643686,1,0,1,1,0,0
3.460433141,0,1,1,2,0,0
2.689336392,1,1,1,1,0,1
2.727581113,1,1,1,1,0,1
2.527356939,0,1,1,1,1,1
3.137656689,0,0,1,1,0,0
2.183077558,1,1,1,1,1,1
2.591432902,0,1,1,1,1,1
1.161140444,1,1,1,1,1,1
2.750257454,1,1,1,2,0,1
2.277511347,0,0,0,1,0,0
1.951943896,1,0,1,1,1,1
1.076866565,1,1,1,0,1,1
1.881998754,1,0,1,0,0,0
2.288126468,0,0,1,0,0,0
2.60762553,1,1,1,1,1,1
2.973398094,0,0,1,0,0,0
2.661694891,0,0,1,0,0,0
2.451344898,0,0,1,0,0,0
2.580279983,1,1,1,2,0,1
1.796843718,0,1,0,1,0,1
1.678518165,1,0,1,0,0,1
2.732062332,0,1,1,2,0,0
2.002040866,0,0,1,2,1,1
1.588623489,1,0,1,2,0,1
1.997294962,0,1,1,2,1,1
1.723873302,1,1,0,2,1,1
2.272804408,0,0,0,0,0,0
2.786656551,1,1,1,2,0,1
3.67644746,1,0,0,1,0,0
2.561913557,0,0,1,0,0,0
1.859009475,1,0,0,2,1,1
2.340648955,0,1,1,2,0,1
2.515182816,0,0,0,1,0,0
1.592710798,0,0,1,1,1,1
2.136681872,1,0,0,0,1,1
2.357528848,0,0,0,0,0,0
2.54865466,0,0,0,1,0,0
2.398783489,0,0,1,0,0,0
3.732159867,0,0,0,2,1,0
2.213956619,1,1,1,2,0,1
2.158259135,0,1,1,2,0,1
2.325016152,1,0,0,0,1,1
2.995416699,1,1,1,2,0,0
3.749532568,1,0,1,2,0,0
1.289720057,1,1,1,2,0,1
3.382577062,1,1,1,1,0,0
2.34647559,1,1,0,2,1,1
2.944495249,0,0,1,2,0,0
2.194192719,0,0,0,0,0,0
1.998934658,1,1,0,0,0,1
2.260059082,0,1,0,0,1,1
1.774242363,0,0,1,1,0,1
2.088671653,0,1,1,2,0,1
3.854671948,1,1,0,0,0,0
3.749301779,1,1,0,1,1,0
2.76649346,1,1,1,2,0,1
2.791671032,1,1,1,2,0,1
2.756925413,1,1,1,1,0,1
2.497131346,0,0,1,0,0,0
2.491308334,1,1,1,2,0,1
2.52240373,0,1,1,2,0,0
2.067248001,0,1,1,1,0,1
2.345856662,1,1,1,2,0,1
1.827405077,1,1,0,2,0,1
3.302356105,1,0,0,1,0,0
3.608776609,1,0,1,1,1,0
2.248683407,1,1,1,1,0,1
1.999732797,1,1,1,1,1,1
1.356088065,1,0,1,2,0,1
2.620899969,1,1,1,1,1,1
2.361308102,1,1,1,1,0,1
1.714208723,1,0,1,0,0,0
1.362019708,0,0,0,0,1,1
1.850719082,1,0,1,2,0,1
2.592256938,0,1,1,1,0,0
2.485705031,1,1,0,0,0,1
3.941040744,0,0,0,2,0,0
1.832351038,0,0,1,1,0,1
2.6581867,1,1,1,1,1,1
2.495846497,0,0,0,0,0,0
1.595422563,0,0,0,0,1,1
2.359718603,0,0,1,2,0,0
3.175125885,1,1,0,0,1,0
1.997413731,0,0,0,0,0,1
2.038748049,1,1,0,0,1,1
2.068743788,0,0,1,0,0,0
2.195002965,0,1,1,1,0,1
2.166228593,1,1,0,1,1,1
1.906050911,0,1,0,1,0,1
1.937138724,1,0,0,1,1,1
2.003271304,1,1,0,1,0,1
1.833671723,0,0,0,0,0,1
2.086998911,0,0,1,2,0,0
2.533177683,0,0,0,0,0,0
2.856433293,0,1,1,2,0,0
2.57036457,1,1,1,1,0,1
3.262082257,0,1,1,1,1,0
2.0471572,0,0,0,0,0,0
1.27615592,0,1,1,2,0,1
3.772838579,0,0,1,0,0,0
1.779043221,1,0,1,2,0,1
3.130889333,1,0,0,2,1,0
2.00174288,1,0,0,2,0,0
1.525872859,1,1,0,2,0,1
2.134055234,1,0,1,1,0,0
3.928548546,1,1,0,0,1,0
2.124802405,1,0,0,2,1,1
2.407507777,1,0,1,0,0,0
1.625989509,0,0,1,0,0,0
1.771971591,1,1,1,1,1,1
2.312736687,0,1,0,0,1,1
2.496399628,0,1,1,2,0,1
3.235604232,0,0,0,0,0,0
2.509941829,1,1,1,1,0,1
2.315612403,0,0,0,1,1,1
2.659072865,1,1,1,2,0,1
1.84314414,1,0,1,2,1,1
2.575867429,1,1,1,2,0,1
2.65806293,0,1,1,2,1,1
2.426028051,1,1,0,0,0,1
2.077336516,1,0,0,0,0,0
2.185275858,1,1,0,0,0,1
3.199282133,0,1,1,2,1,0
1.940282417,0,0,1,2,0,1
2.528834531,1,1,1,1,0,1
2.293290734,0,0,1,0,1,1
2.004094712,0,0,0,0,0,0
1.095945429,0,1,0,1,1,1
1.945198838,1,1,0,1,1,1
1.599954308,1,0,1,2,1,1
2.064946831,1,1,0,2,1,1
3.553060526,0,0,1,2,1,0
1.658185949,1,0,0,1,0,1
3.93451737,1,0,1,1,0,0
2.326418892,0,1,1,2,0,1
1.927760107,0,1,1,0,0,1
2.046102017,0,0,0,0,0,0
2.482781228,0,0,1,0,0,0
3.746085385,1,1,1,0,0,0
1.978913948,0,0,1,0,0,0
2.466684061,0,0,1,1,1,1
3.906217854,1,1,1,2,0,0
2.046285347,1,0,0,1,0,0
2.283294628,0,0,0,0,0,0
2.476312611,0,0,1,1,0,0
2.314783626,1,1,0,0,1,1
1.310258637,0,0,1,1,1,1
3.785276653,0,1,1,1,0,0
3.999627311,1,0,1,0,1,0
2.635858375,1,1,1,1,1,1
1.945700169,0,0,0,2,1,1
1.988530262,1,0,0,0,0,0
3.449713512,0,1,1,1,1,0
2.175785869,0,0,1,0,0,0
2.446503217,0,0,0,2,0,0
3.032835129,1,0,1,0,1,0
2.384700619,1,0,1,0,1,1
2.541428402,1,1,1,1,0,1
