Aggregate,WorkExless1,WorkExmore1,GRE/GMAT,GermanLevel,Private,Admission
1.585604341,1,0,1,1,0,1
2.511290079,1,0,1,2,1,1
3.106509454,0,1,0,1,1,0
2.383956207,0,0,1,0,0,0
2.896555826,0,1,1,0,1,0
2.240475314,0,0,0,0,0,0
2.667050982,1,0,1,2,1,1
1.00926726,0,1,0,2,1,1
2.86717333,0,1,1,2,1,1
2.436143538,1,0,1,2,0,1
2.795512558,0,0,0,0,0,0
2.665479304,0,0,0,0,0,0
1.618883936,1,0,0,2,1,1
1.718841482,0,1,1,1,0,1
2.464852779,0,0,0,1,0,0
2.831641785,1,0,1,1,1,0
2.114553227,0,0,0,2,0,0
1.867669244,0,0,0,0,0,0
2.817216013,0,1,1,1,1,1
2.598732699,0,0,0,0,0,0
2.187359889,0,0,0,0,0,0
1.820931248,1,0,1,2,1,1
2.422284797,0,0,0,2,0,0
2.711773234,0,1,1,2,1,1
2.375937606,1,0,1,1,1,1
2.450809526,1,0,1,2,1,1
1.373486073,1,0,0,0,1,1
2.349125086,0,0,0,0,0,0
2.227926281,0,0,0,0,0,0
2.373625206,1,0,1,1,1,1
2.919642236,0,1,1,1,1,1
2.840333752,0,1,0,1,1,0
2.687415308,0,0,0,0,0,0
1.576402243,0,1,0,0,0,1
1.646131991,0,1,0,1,0,1
2.880948153,1,0,0,1,0,0
1.988295332,0,0,0,0,0,0
2.633765273,0,0,0,0,0,0
2.368153805,0,0,0,1,0,0
2.21199909,0,0,0,0,0,0
2.463564424,0,0,0,0,0,0
3.308782421,1,0,0,2,0,0
2.340928605,1,0,1,1,0,1
1.826831962,1,0,1,1,1,1
2.739382099,1,0,1,1,1,1
2.702455243,1,0,1,0,1,1
2.932674471,0,1,0,0,0,0
1.450440797,1,0,0,1,1,1
2.785225466,0,0,0,0,0,0
1.96494842,0,1,1,1,1,1
1.600232578,1,0,1,1,1,1
2.148147838,1,0,1,1,1,1
3.474414242,1,0,0,1,0,0
2.785324942,0,0,0,0,0,0
2.429473831,0,0,0,0,0,0
1.750980554,1,0,1,2,1,1
2.893757738,1,0,1,1,0,0
2.752089868,0,0,1,0,0,0
2.17426426,0,0,0,0,0,0
3.253620279,1,0,0,0,0,0
2.71346924,0,1,1,2,1,1
1.839555247,1,0,1,2,1,1
1.666537033,1,0,1,2,0,1
2.023171052,1,0,1,2,1,1
2.398501455,0,0,0,0,0,0
2.919765631,0,1,0,1,1,0
2.453970059,1,0,1,1,1,1
3.340591275,0,1,0,0,1,0
1.811622211,1,0,1,2,0,1
2.041448989,0,1,1,1,0,1
1.13315788,0,1,1,2,0,1
3.319873603,0,1,0,0,0,0
2.70496351,0,0,0,0,0,0
2.341554726,0,0,0,1,0,0
2.541175766,0,0,0,2,0,0
3.869483233,1,0,1,0,1,0
2.356281742,0,0,0,0,0,0
2.80018953,0,1,1,1,1,1
2.32224314,0,0,0,0,0,0
1.79631992,0,1,1,1,0,1
2.877506829,1,0,1,0,1,0
2.485072672,1,0,1,2,1,1
1.992182849,0,0,0,0,0,0
2.572961376,0,1,1,2,1,1
2.713013672,1,0,1,1,1,1
2.708506533,0,0,1,0,0,0
2.622039094,1,0,1,1,1,1
