Aggregate,Internship,GRE,GermanLevel,DegreeCompleted,Winter,Admission
2.748099434,1,1,1,1,0,1
2.663673275,0,0,0,0,1,0
2.623130904,1,1,1,1,0,1
2.734286616,1,0,0,0,0,0
2.465796643,1,1,1,1,1,1
2.259364375,1,1,2,1,0,1
2.315857066,0,1,1,0,0,0
3.604143125,1,1,0,0,1,0
2.797709225,1,1,1,1,1,1
2.753465899,1,1,2,1,1,1
2.228965972,1,0,2,1,0,1
1.430672592,1,0,2,0,0,1
2.013349631,1,1,1,0,1,1
2.363507598,0,0,0,0,0,0
2.777452956,1,0,1,1,1,0
2.562825593,0,1,0,0,0,0
2.691230187,1,1,2,1,1,1
2.280154131,0,1,1,1,1,1
2.799200719,0,0,0,0,1,0
1.744924561,1,0,2,1,1,1
2.24812362,0,0,0,1,1,0
2.323150568,0,0,0,1,0,0
2.247804541,0,0,0,1,1,0
1.901421556,1,1,2,1,1,1
2.343226649,1,1,1,1,1,1
2.414797678,0,0,1,1,0,0
1.155357535,1,1,0,0,0,1
1.7194069,0,1,2,1,1,1
1.652255037,1,1,1,1,1,1
2.577414478,1,1,0,1,0,1
2.599230525,0,0,2,1,0,0
1.521811433,0,0,1,1,1,1
1.991107728,1,1,2,1,0,1
2.774662119,1,0,1,1,1,0
2.768543767,0,1,2,1,0,0
2.776509615,0,0,1,0,1,0
2.135510774,0,1,0,1,1,1
1.952123653,1,1,1,1,1,1
1.923169197,1,1,0,1,1,1
2.106331499,0,0,0,0,0,0
2.266058565,0,0,0,1,1,0
2.377801317,0,0,0,1,1,0
2.351431196,1,1,2,1,1,1
2.441982171,0,0,0,0,0,0
2.038753557,0,1,2,1,1,1
2.390183588,0,0,0,0,1,0
2.858569009,0,1,0,1,1,0
2.2076672,0,0,0,0,0,0
2.614323018,0,0,0,0,0,0
2.618718224,1,1,2,1,0,1
2.046450646,0,1,0,0,0,0
2.898168456,0,1,2,1,0,0
1.557309461,1,0,1,1,1,1
2.210460996,0,0,0,1,0,0
1.607952926,1,1,0,0,1,1
1.898478022,0,1,1,1,0,1
2.00913553,0,1,0,1,1,1
2.58911884,0,0,0,0,0,0
1.964152077,1,1,2,1,1,1
2.53107886,0,0,1,0,1,0
2.280723287,1,0,1,1,1,1
2.977290925,0,1,1,1,0,0
1.072658333,1,0,1,0,0,1
2.395592608,1,1,1,1,1,1
2.330489871,0,0,0,0,0,0
3.207242981,1,1,0,0,1,0
3.700965204,1,1,0,0,0,0
2.65647669,0,0,0,0,1,0
2.139145799,0,0,0,0,1,0
2.235278002,1,1,1,1,1,1
1.618766638,1,1,1,0,0,1
2.132758159,0,1,1,1,0,1
2.382833639,1,1,2,1,0,1
2.403593541,0,0,2,0,1,0
2.216231758,1,1,1,1,0,1
2.232950741,0,0,0,1,1,0
2.147417947,1,1,1,1,1,1
1.567481654,1,1,1,0,0,1
2.224213944,0,0,0,1,1,0
3.593069891,0,0,1,1,0,0
2.022800198,1,1,1,0,0,1
2.19526981,1,1,0,1,1,1
