Aggregate,GRE,Internship,DegCompleted,Winter,GermanLevel,Admission
1.694031383,0,0,0,0,0,1
1.784580944,0,1,1,0,2,1
2.656486472,1,1,0,0,1,0
2.090697782,1,1,1,1,1,1
1.606144751,1,1,1,0,1,1
2.481632482,1,1,1,0,1,1
1.949073686,1,1,1,1,1,1
1.667548007,1,0,1,1,1,1
2.308863874,1,1,0,1,0,0
2.23424659,0,0,0,0,0,0
2.234744656,1,1,1,0,0,1
2.701419422,0,0,1,1,1,0
1.047967849,1,1,0,0,0,1
2.222921373,1,1,0,0,0,0
1.344765363,0,1,1,1,1,1
1.552385398,1,1,1,1,2,1
1.611166384,1,0,1,0,2,1
2.695015939,1,1,0,1,2,0
2.250861161,1,1,1,1,1,1
2.244647526,0,0,0,0,0,0
2.726296386,0,1,0,1,2,0
2.201680622,1,1,1,0,0,1
1.797270926,1,1,1,1,0,1
2.695758116,0,1,0,1,1,0
1.881818034,1,0,1,0,1,1
3.567818134,0,1,0,1,0,0
1.578916062,1,0,0,1,2,1
3.594846693,0,1,1,0,1,0
1.960645125,1,0,1,0,2,1
2.142085528,0,0,0,1,0,0
2.244710329,0,1,0,0,0,0
2.753164145,1,1,1,1,1,0
2.573174914,1,1,0,1,2,0
2.164168776,1,0,1,0,2,1
1.863065743,0,1,1,1,1,1
2.60069815,1,0,0,1,1,0
1.696817658,1,0,1,0,2,1
2.348872528,1,1,1,0,0,1
3.082994625,1,1,1,0,1,0
3.163660602,1,0,0,1,1,0
1.586193333,1,1,1,0,1,1
1.514102405,1,1,0,0,1,1
2.377272136,1,1,1,0,0,1
2.042245109,1,0,1,1,1,1
2.755224502,1,0,1,0,1,0
1.968580584,0,1,1,0,2,1
1.61062149,1,0,1,0,2,1
1.507085699,1,0,1,0,1,1
2.14262997,1,0,1,0,1,1
2.057226296,1,1,1,0,1,1
2.681001863,0,1,0,1,1,0
3.691730746,1,1,0,1,2,0
2.178718293,0,0,0,1,0,0
1.658469548,1,1,0,1,2,1
2.212311618,1,1,1,0,2,1
2.02887832,0,0,0,1,0,0
1.508357006,1,1,1,0,2,1
2.229112624,1,1,1,0,2,1
1.698318008,1,1,1,1,2,1
3.211637773,1,0,0,1,0,0
1.771521417,0,0,0,0,0,1
2.535496015,0,1,1,1,1,0
2.271611071,0,0,0,1,0,0
2.186328899,0,0,0,0,0,0
1.509664402,1,0,1,1,1,1
2.206591138,0,0,0,1,0,0
2.096488782,0,0,0,0,0,0
1.512676106,1,1,1,1,0,1
1.686963614,1,0,1,0,2,1
2.461897438,1,1,1,1,0,1
2.78681203,1,0,0,1,0,0
1.553246799,1,0,0,1,1,1
2.025459428,1,1,1,1,2,1
2.575801058,1,1,1,0,1,1
2.537356483,0,0,1,0,0,0
1.94116603,1,1,1,1,1,1
2.013808618,0,0,0,1,0,0
2.25109012,1,1,1,0,2,1
3.15793901,0,1,0,0,0,0
2.749966465,1,1,0,1,2,0
2.690283184,1,1,1,1,1,1
1.57605315,1,1,1,1,2,1
1.871294301,1,1,1,1,0,1
2.25115549,0,0,0,1,0,0
2.428025436,1,1,1,0,2,1
1.922997588,1,1,1,0,2,1
2.310628489,0,0,0,0,1,0
2.167420506,1,1,1,1,2,1
2.164462723,1,1,1,0,2,1
1.896529261,1,1,1,1,2,1
2.519533191,1,1,1,0,2,0
3.993150778,1,0,0,1,0,0
2.615892484,1,1,0,1,0,0
2.117586172,1,1,1,0,2,1
3.426758481,0,0,1,0,0,0
2.57411199,0,1,1,1,0,0
3.187854469,1,0,1,1,0,0
2.409826851,1,1,1,0,1,1
1.504204771,1,1,1,0,1,1
3.929482351,1,0,1,1,2,0
2.523400583,0,1,1,1,0,0
1.715477916,1,1,1,1,1,1
2.479895412,1,1,0,1,0,0
1.078420524,0,1,1,0,1,1
2.258329868,1,1,0,1,0,0
2.580013533,1,1,1,1,1,1
2.669505686,1,0,1,1,2,0
2.081541672,1,0,1,1,2,1
