Aggregate,Internship,DegreeCompleted,GRE,Winter,Germanlevel,Admission
2.232300488,1,1,1,0,2,1
2.903420496,0,0,1,0,2,0
1.189752171,0,0,0,0,1,1
1.861819775,1,1,0,1,2,1
2.26660077,0,1,0,1,0,0
2.390921533,0,0,1,1,0,0
2.40790981,0,0,0,1,0,0
2.47594672,0,0,1,1,0,0
2.219999029,1,1,1,0,2,1
1.835243601,1,1,0,1,0,1
2.147975804,0,0,0,0,0,0
2.390020506,0,1,1,1,1,0
2.279370106,0,1,1,0,1,1
2.488542048,1,0,1,1,0,0
2.372968676,1,1,1,0,1,1
2.068092751,0,1,1,0,1,1
1.845775021,0,0,1,0,1,1
2.636849759,0,1,1,1,2,0
3.297306969,0,1,0,0,0,0
2.334864785,0,0,0,1,0,0
2.143017442,1,1,1,1,2,1
2.187648816,1,1,1,0,2,1
2.4547077,1,1,1,0,1,1
2.70295654,1,1,1,1,1,1
1.868021994,1,1,0,0,1,1
2.150105545,1,0,0,0,0,0
2.485239023,1,1,1,0,1,1
2.428824545,0,0,0,0,0,0
2.340255691,0,0,0,0,0,0
1.901386219,1,1,1,1,1,1
2.102502072,0,0,0,1,0,0
2.194288481,0,0,0,0,1,0
2.30668889,0,0,1,0,2,0
1.58058922,0,0,0,0,0,0
1.654139018,0,0,0,0,0,0
2.445806091,0,0,0,1,0,0
3.21168126,1,0,0,1,1,0
2.415287041,1,0,0,0,1,0
2.356631142,1,1,1,1,1,1
3.752167255,1,1,0,1,1,0
2.088529778,1,1,1,1,1,1
2.682726318,1,1,1,0,2,1
2.189215826,1,1,1,1,2,1
2.21169966,1,1,1,0,0,1
1.821715094,0,1,0,0,2,1
2.559006003,1,1,1,1,1,1
1.89644993,1,1,1,1,1,1
1.566185057,1,0,1,0,2,1
2.180465344,1,1,0,0,0,0
2.240598495,1,1,1,1,1,1
2.314437438,0,0,1,0,0,0
2.893236831,0,1,1,0,2,0
2.183952299,0,0,1,0,2,0
2.24584081,0,0,0,1,0,0
3.717329913,0,0,1,1,2,0
3.434556624,0,0,0,1,0,0
2.06063737,1,1,1,0,0,1
1.997677087,1,1,1,0,2,1
2.603812844,1,0,1,1,2,0
1.685560589,0,0,1,0,1,1
1.730911156,1,1,1,0,2,1
2.377105934,0,0,0,1,0,0
2.605891963,1,1,1,0,0,0
1.838988896,1,0,1,0,2,1
2.204055596,0,0,0,1,1,0
1.219306222,1,1,1,1,0,1
1.525151791,1,1,1,0,1,1
1.507507392,0,0,0,1,0,0
1.819166033,0,0,0,0,0,0
2.116394275,1,1,1,0,2,1
1.849378213,1,1,1,0,1,1
1.597367994,0,0,1,1,2,1
2.688831264,0,0,0,0,2,0
2.755127567,1,1,1,1,2,1
2.138670349,1,1,1,1,2,1
2.096088044,0,0,0,0,0,0
3.633431883,0,1,0,1,0,0
2.403500479,0,0,1,1,0,0
1.865575101,1,1,0,1,2,1
2.19082082,0,1,1,0,2,1
3.734574584,0,1,1,1,0,0
3.30626956,1,0,1,0,2,0
1.885599818,0,1,1,0,1,1
2.034574909,1,1,1,0,2,1
1.836461191,1,1,0,0,2,1
2.204102871,0,0,1,1,2,0
2.067071269,0,0,1,0,0,0
2.042118298,0,0,0,1,0,0
1.889102024,1,1,1,0,2,1
1.644030027,1,1,0,0,0,1
1.936595135,0,0,1,1,1,1
3.207439257,1,1,0,0,0,0
1.952738589,1,1,1,0,1,1
