Aggregate,Internship,GRE,Germanlevel,DegreeCompleted,Private,Admission
3.292624727,1,0,2,1,0,0
2.879697679,1,1,1,1,1,1
2.522897137,1,0,0,1,0,0
2.721680475,0,0,0,0,1,0
2.289139502,0,0,2,1,1,1
3.964589301,1,1,0,0,0,0
2.564387144,1,0,2,1,1,1
2.376267244,1,1,0,1,0,1
1.845115762,0,0,0,0,0,0
2.671986562,0,0,0,1,0,0
2.900261177,0,1,1,0,0,0
3.138235817,1,1,2,0,0,0
1.768972899,1,1,1,0,0,1
2.4417215,0,0,0,0,0,0
2.786423811,1,0,1,1,0,0
2.710856685,1,1,2,1,0,0
2.180036271,1,1,0,1,1,1
1.117267783,1,1,2,1,1,1
2.621519349,0,0,0,0,0,0
2.467008599,0,0,0,0,0,0
1.83811517,0,0,1,1,1,1
2.860169607,1,1,2,1,1,0
2.43674954,1,1,2,1,1,1
3.340461244,0,1,1,1,0,0
1.576884572,1,1,0,0,0,1
2.16253308,1,1,2,1,1,1
1.264130672,1,0,2,0,1,1
2.516048507,0,1,0,0,0,0
2.17945544,0,1,0,1,1,1
2.82907109,1,1,0,1,1,0
2.038555,0,0,0,0,0,0
1.782641636,0,1,1,0,0,1
2.732617359,1,1,1,1,1,1
3.748235948,0,1,1,1,0,0
2.257734525,1,1,2,1,1,1
2.323341129,1,1,0,1,1,1
2.798873929,1,1,1,1,1,1
2.757122722,1,1,1,1,1,1
2.377402115,0,0,1,1,1,1
1.807329224,0,1,1,1,1,1
1.095671996,1,1,1,1,0,1
2.194879971,0,0,0,0,0,0
2.244003104,1,1,2,1,0,1
1.714427405,0,1,1,1,1,1
2.086461987,1,1,2,1,0,1
2.828864505,1,1,1,1,1,1
2.239157647,1,1,0,1,0,1
1.546736499,0,1,1,1,1,1
3.635049372,1,1,0,0,0,0
3.427417632,1,1,2,0,0,0
2.016386717,1,1,1,0,1,1
1.859822039,1,1,0,1,1,1
2.61550465,1,1,1,1,0,1
1.593108447,1,1,1,0,1,1
1.872701028,1,1,0,1,0,1
2.003273424,0,1,1,0,0,1
1.645194817,0,1,1,1,0,1
2.161829872,1,1,0,1,0,1
2.27000321,1,0,1,1,0,1
2.413883252,0,0,0,0,0,0
2.630397496,1,0,0,1,1,1
3.871155239,0,1,0,0,1,0
2.447328215,0,0,0,0,0,0
1.692486321,1,1,1,1,0,1
2.471166688,1,1,1,1,1,1
1.507603085,1,0,2,1,0,1
3.501319323,1,0,2,0,1,0
1.917665702,0,1,1,0,0,1
2.849669652,1,1,2,1,0,0
2.56418512,0,0,1,0,0,0
2.949773432,0,1,0,0,1,0
1.806076161,0,0,0,0,0,0
3.661542795,0,0,2,1,1,0
2.853942825,1,0,0,0,1,0
2.423146963,1,0,0,1,1,1
2.020053428,1,1,1,1,0,1
2.485284979,1,0,0,1,0,0
2.48885165,0,0,1,0,0,0
1.740770761,0,0,2,0,1,1
2.148470384,1,0,0,1,1,1
3.0041392,0,1,1,0,1,0
1.938359223,1,0,1,1,1,1
3.720393886,1,1,0,1,1,0
1.410782855,1,0,2,0,1,1
2.854393112,1,1,2,0,0,0
2.995822097,1,1,2,1,1,0
1.96607738,0,0,0,0,0,0
2.613745007,0,1,0,0,0,0
2.395266025,0,0,0,0,0,0
2.526366727,0,0,0,0,0,0
2.666737085,0,0,0,0,0,0
2.019460705,1,0,1,1,1,1
2.83470238,0,1,1,1,1,0
2.387614538,0,0,0,0,0,0
2.091880323,0,0,0,0,0,0
3.482313246,1,1,1,0,1,0
1.557713073,1,1,1,0,0,1
1.80719129,1,1,1,0,0,1
2.181754376,0,0,0,0,0,0
1.350749484,1,0,1,1,1,1
1.989646417,1,0,1,1,1,1
2.377796585,0,0,1,1,1,1
3.031695599,0,1,1,0,0,0
2.390842613,1,1,2,0,0,1
2.632990586,0,0,0,1,0,0
1.89183967,0,1,1,0,0,1
2.091891806,1,0,1,1,1,1
1.294931533,1,0,2,0,0,1
2.664516345,1,1,1,1,1,1
1.983253284,1,0,1,1,0,1
2.029373121,0,0,0,0,0,0
1.657202024,0,1,1,1,0,1
1.66322845,0,1,1,0,0,1
1.674077657,1,1,2,1,0,1
2.658803571,0,0,0,1,0,0
2.11459583,0,0,2,1,0,1
2.429730381,0,0,2,0,0,0
3.792541239,1,0,1,1,1,0
2.959054533,0,1,2,1,0,0
2.210561326,1,1,0,1,1,1
3.85706352,1,1,2,1,1,0
1.989864098,1,0,1,1,1,1
2.866772774,1,1,1,1,1,1
2.328100529,1,1,0,0,1,1
2.222412847,1,1,0,0,1,1
2.599923815,1,1,1,1,0,1
2.53546375,1,0,0,1,0,0
1.785114643,1,0,0,1,1,1
2.985777868,0,1,0,0,1,0
2.785787609,1,1,1,1,1,1
2.00656484,1,1,2,1,0,1
3.335838179,0,0,2,0,1,0
2.212454285,1,0,2,1,1,1
1.70349043,1,1,2,1,1,1
2.655994149,0,0,0,0,0,0
1.173699388,0,0,1,0,1,1
3.564320459,1,0,1,1,0,0
2.882052886,1,1,1,1,0,0
2.833859827,0,1,0,0,1,0
2.016426038,0,0,1,1,0,1
2.494224727,0,0,0,1,0,0
3.243821716,1,1,2,1,1,0
2.828589117,1,1,1,1,0,0
2.91008453,1,1,1,1,1,0
2.092657647,1,0,0,1,0,1
1.890563372,1,1,1,0,0,1
2.259685435,1,1,1,1,0,1
2.463613323,1,0,0,1,0,0
1.780111859,1,1,0,1,0,1
1.503781385,0,1,2,1,1,1
2.035646123,0,0,0,0,0,0
2.068180487,1,1,1,1,0,1
2.964691324,0,1,0,0,1,0
2.423647314,1,1,1,1,1,1
